userid,type,ImageID,Label,RatingA,RatingC,RatingK,Length_Drawn
116,7,1,pencil,3,2,2,30754
162,3,2,jack o'lantern,5,5,5,65470
126,2,3,lamp,3,2,1,12057
143,7,4,scared face,2,1,3,8907
183,3,5,smiley face,3,3,2,66653
119,6,6,lamp,4,4,1,15908
131,1,7,millennium falcon,5,3,5,25636
148,1,8,a stick figure,5,3,3,50123
133,6,9,hanging basket,3,2,4,30342
178,4,10,another boat with different shaped flag,3,2,1,7810
200,3,11,megaphone,5,4,4,12399
117,5,12,christmas tree,3,1,2,5568
123,5,13,a dog and his doghouse and yard.,5,4,5,83380
170,2,14,plane,4,3,2,25925
136,4,15,face,3,2,1,29872
198,7,16,no label,NA,1,1,2150
198,4,17,classroom or meeting room situation,5,3,5,8379
164,1,18,a bowl of rice,2,2,4,1627
186,6,19,lamp,4,3,2,5769
138,5,20,a shape,1,2,1,3981
163,2,21,a building,5,3,4,12584
199,7,22,pencil,3,1,3,705985
156,2,23,basketball hoop,5,2,5,20019
194,6,24,tree,3,2,2,37635
171,4,25,basketball court,4,2,3,39126
148,2,26,a building and man,4,2,4,15351
163,7,27,an airplane,4,2,3,40760
189,5,28,no image,NA,1,1,60002
120,1,29,face,3,3,2,38313
137,7,30,"no idea,  but it looks like a tribal symbol",3,2,2,55954
200,6,31,a christmas tree,3,2,5,17494
139,1,32,genie pot,4,4,5,30290
166,3,33,two people close together,5,4,4,20696
192,2,34,house in australia (upside down),4,2,4,17805
200,7,35,an arrow,2,1,2,2480
165,5,36,house,2,1,1,3107
112,3,37,a sad face,3,2,2,24777
104,7,38,bottle,3,1,2,6131
162,2,39,"mix of spongebob, plankton, and patrick",4,4,5,16909
156,4,40,some guy with a hat,4,4,5,37768
197,5,41,a house,2,2,1,12237
173,7,42,vase of flowers,4,2,4,46541
166,5,43,a discoball in a room with stairs,5,3,5,16893
152,1,44,face smiling,3,4,3,2985
125,7,45,upside down house,2,1,1,6276
197,6,46,an arrowhead,3,1,4,24369
154,1,47,a head,3,2,2,18300
103,6,48,a tree,3,1,1,14392
169,1,49,water drop,2,2,4,2407
151,4,50,a house with a pool,4,2,4,11039
106,7,51,chimney,4,2,5,9240
190,2,52,pool table,4,3,5,37734
132,7,53,cow,5,3,5,48121
122,7,54,a poor drawing of two guys dancing together,5,2,2,127427
113,1,55,egg,2,2,3,2614
131,5,56,house,2,2,2,59694
122,5,57,"well its an octopus that's fighting off scuba divers, it's upside down",4,4,5,703098
165,3,58,finished the shape,NA,3,1,3299
107,5,59,chanel purse,3,2,5,11423
127,3,60,boat,3,2,2,24675
128,4,61,puzzle piece,2,1,5,5564
189,1,62,noodles and chopsticks,3,3,5,116334
143,5,63,house,2,2,2,8941
175,2,64,sand timer,5,3,5,72034
160,4,65,spider,5,4,4,1016702
176,7,66,a bird,5,4,5,191957
112,7,67,a water cooler,5,2,4,8665
199,4,68,ham,3,2,3,11627
185,1,69,chicken,4,4,2,9463
105,7,70,basic shapes,1,1,1,16056
145,7,71,face,2,1,1,83316
132,3,72,boat,3,2,1,6584
163,1,73,a person,4,5,4,280169
123,1,74,a parachuter that ended up upside down when he released his parachute.,5,4,5,13210
157,4,75,face,2,2,3,5740
160,3,76,a satellite,5,3,5,110750
159,6,77,christmas tree,3,2,2,17558
144,4,78,not sure,NA,2,1,30452
104,5,79,house,2,2,2,4187
150,7,80,an arrow falling from the sky,3,2,2,5842
139,4,81,vase,2,2,2,41126
112,2,82,water cooler,4,2,4,33035
145,3,83,christmas tree,5,3,2,211994
144,6,84,lamp,3,1,1,11358
155,4,85,dog,4,4,4,63170
179,2,86,two buildings connected with a street leading up to it,4,3,4,38060
170,1,87,baby in a chair,5,5,4,84799
188,1,88,one of those toys that you hit and it comes right back up (it's a clown version),5,4,4,34520
106,1,89,vase and a flower,4,3,4,90049
122,1,90,an eyeball that also shows the inner workings from a side perspective,5,5,5,221283
145,2,91,robot,5,5,5,133058
197,2,92,a tiny pencil,4,3,5,34243
177,5,93,a house,2,2,1,13199
144,7,94,no label,NA,3,1,45353
133,4,95,random lines,NA,1,2,15624
107,1,96,an elf,4,3,5,25197
173,4,97,cruise ship,4,3,4,70841
150,2,98,a sneaky man,4,5,3,33049
120,3,99,clown,3,3,4,52911
141,4,100,bottle,2,1,3,43216
117,7,101,eraser,2,1,2,458
174,4,102,a smiley face,2,2,1,8314
136,1,103,face,4,2,3,85040
195,5,104,trapped man,4,3,4,13844
102,5,105,house,2,2,1,13128
181,5,106,house,2,1,1,2941
162,5,107,some sort of abstract house,3,3,3,23392
153,7,108,two soft drinks and two chocolate bars,5,5,4,51631
164,6,109,a christmas light,2,1,4,781
172,2,110,upside down house,4,2,1,13566
111,3,111,smile,3,2,2,39249
188,4,112,happy cartoon face,2,3,2,8193
102,2,113,robot,4,3,2,45535
129,7,114,bouquet,5,5,4,28661
118,7,115,basketball hoop,5,3,3,43505
194,3,116,nirvana smiley face,3,3,3,48173
107,7,117,an upside down house,2,1,1,7444
157,5,118,ladder,3,2,4,16153
163,4,119,abe lincoln,5,3,4,76652
165,2,120,finished the shape,NA,1,1,2236
187,2,121,stick figure,4,3,1,26847
106,3,122,smiley face,3,2,2,11115
179,7,123,unfolded envelope,3,2,2,24290
153,2,124,a guy shooting a basketball into the hoop,5,3,4,21039
168,5,125,planes,5,4,3,22586
121,1,126,boat at sea,4,2,2,30514
154,5,127,a house,2,1,1,9830
170,3,128,face,3,5,1,23129
196,6,129,arrow,2,1,3,4743
143,6,130,lamp,2,1,2,7130
110,4,131,movie theater,5,3,5,40308
106,5,132,house,2,1,1,8086
162,7,133,funnel,4,2,2,1661
177,7,134,no label,NA,1,1,5202
168,3,135,cat,4,5,2,50872
135,1,136,fish bowl,3,2,3,5871
196,1,137,sea creature,4,2,2,29164
151,6,138,a lamp,2,1,1,20688
196,4,139,face,2,2,2,24195
109,3,140,a face,3,4,2,80124
120,7,141,car going over pothole,5,3,5,17013
176,2,142,a spatula,4,2,5,103246
193,1,143,rain,4,4,4,22029
176,6,144,a tree,3,2,2,52745
130,2,145,geometric octopus,5,4,5,54512
117,1,146,rain drop,3,2,2,2395
183,7,147,pencil,3,2,3,456367
177,1,148,sting ray,4,3,5,26527
127,2,149,a road,3,2,3,12796
122,4,150,a colony of space houses that are floating on their own islands,5,5,5,900706
132,1,151,person,4,5,1,159770
181,6,152,lacrosse stick,2,1,2,1377
180,4,153,a present in a bag,4,4,5,83999
157,1,154,baseball diamond,3,4,4,31339
157,2,155,upside down house,4,2,2,29287
129,2,156,person,3,2,1,55169
169,6,157,key,3,1,4,4979
178,2,158,upside down house,4,4,2,67858
143,2,159,house with a walkway,4,3,4,23295
144,1,160,pumpkin,3,2,5,10181
145,6,161,arrow,2,1,1,14496
128,1,162,vase,2,1,2,17528
167,2,163,a person,3,3,1,408464
192,4,164,sailboat,2,1,3,15496
192,6,165,gnome house,4,3,3,32721
174,2,166,a friendly giant,4,4,5,19491
126,1,167,sailboat,3,2,2,9220
168,2,168,man with suits,5,4,4,32338
114,7,169,penguin,4,2,4,35129
114,1,170,teardrop,2,2,3,34854
119,4,171,king,4,4,4,64020
116,5,172,house,2,2,2,28826
158,3,173,axe,4,4,5,24467
109,2,174,upside down house,3,1,2,19158
180,5,175,a house,2,3,1,16694
171,6,176,arrow,2,1,1,9531
194,1,177,light bulb,3,3,3,47768
149,1,178,a flower vase,3,3,1,23721
165,7,179,finished the shape,NA,1,1,1087
190,3,180,a hot pan on a stove,5,5,4,28733
153,6,181,a house,5,3,1,48316
128,5,182,no label,NA,1,1,773
199,3,183,person,3,5,2,7060
105,1,184,sailboat,4,3,3,36327
